asset_symbol,price_date,close_price,daily_return
BTC-USD,2021-01-01,29359.9,
BTC-USD,2021-01-02,32193.3,0.0965057782894354
BTC-USD,2021-01-03,32958.9,0.02378134580797875
BTC-USD,2021-01-04,32022.6,-0.028408108280312816
BTC-USD,2021-01-05,33991.5,0.061484701429615374
BTC-USD,2021-01-06,36793.2,0.0824235470632364
BTC-USD,2021-01-07,39460.2,0.07248622027983442
BTC-USD,2021-01-08,40599.3,0.02886706098803371
BTC-USD,2021-01-09,40151.9,-0.01101989443167739
BTC-USD,2021-01-10,38192.2,-0.048807154829534904
BTC-USD,2021-01-11,35544.3,-0.06933091050004958
BTC-USD,2021-01-12,34076.1,-0.04130620099425242
BTC-USD,2021-01-13,37382.2,0.09702107929017689
BTC-USD,2021-01-14,39175.7,0.04797737960847681
BTC-USD,2021-01-15,36845.8,-0.059473091737990535
BTC-USD,2021-01-16,36019.5,-0.022425893860358648
BTC-USD,2021-01-17,35839.6,-0.004994516858923714
BTC-USD,2021-01-18,36613.2,0.021585062333284943
BTC-USD,2021-01-19,36002.9,-0.016668851670981977
BTC-USD,2021-01-20,35476.3,-0.014626599523927197
BTC-USD,2021-01-21,30842.1,-0.13062805309460135
BTC-USD,2021-01-22,33000.5,0.06998226450209288
BTC-USD,2021-01-23,32088.9,-0.027623823881456344
BTC-USD,2021-01-24,32241.3,0.004749305834727879
BTC-USD,2021-01-25,32252.3,0.0003411773098478399
BTC-USD,2021-01-26,32502.1,0.007745184064392285
BTC-USD,2021-01-27,30404.0,-0.06455275197602617
BTC-USD,2021-01-28,33374.8,0.09771082752269455
BTC-USD,2021-01-29,34301.8,0.027775447343504567
BTC-USD,2021-01-30,34283.1,-0.0005451608953467302
BTC-USD,2021-01-31,33108.1,-0.03427344668364296
BTC-USD,2021-02-01,33515.7,0.012311186688453768
BTC-USD,2021-02-02,35485.2,0.05876350486488424
BTC-USD,2021-02-03,37646.8,0.06091553661808313
BTC-USD,2021-02-04,36982.1,-0.017656215136479192
BTC-USD,2021-02-05,38297.6,0.03557126285419154
BTC-USD,2021-02-06,39256.6,0.02504073362299475
BTC-USD,2021-02-07,38852.9,-0.01028362109810832
BTC-USD,2021-02-08,46395.7,0.19413737455891322
BTC-USD,2021-02-09,46508.6,0.00243341516562956
BTC-USD,2021-02-10,44836.0,-0.03596324120700256
BTC-USD,2021-02-11,47990.7,0.07036087072887853
BTC-USD,2021-02-12,47371.7,-0.012898332385232969
BTC-USD,2021-02-13,47168.7,-0.0042852589204103175
BTC-USD,2021-02-14,48643.4,0.03126437658871262
BTC-USD,2021-02-15,47936.3,-0.014536401649555719
BTC-USD,2021-02-16,49169.7,0.02572997915984332
BTC-USD,2021-02-17,52079.2,0.05917262053663119
BTC-USD,2021-02-18,51582.2,-0.009543157344966913
BTC-USD,2021-02-19,55906.6,0.08383512141785343
BTC-USD,2021-02-20,55923.7,0.0003058672857945144
BTC-USD,2021-02-21,57433.8,0.0270028628291763
BTC-USD,2021-02-22,54111.8,-0.05784050506844396
BTC-USD,2021-02-23,48911.2,-0.09610842736704384
BTC-USD,2021-02-24,49697.5,0.016076072555978982
BTC-USD,2021-02-25,46928.5,-0.05571708838472755
BTC-USD,2021-02-26,46345.6,-0.012421023471877457
BTC-USD,2021-02-27,46136.7,-0.004507439756956444
BTC-USD,2021-02-28,45164.0,-0.021082999000795355
BTC-USD,2021-03-01,49595.5,0.09812018421751834
BTC-USD,2021-03-02,48424.2,-0.023617062031837666
BTC-USD,2021-03-03,50395.1,0.040700724018156276
BTC-USD,2021-03-04,48428.0,-0.03903355683389853
BTC-USD,2021-03-05,48792.5,0.007526637482448084
BTC-USD,2021-03-06,48855.6,0.0012932315417328866
BTC-USD,2021-03-07,50982.3,0.04353032201016882
