"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-01","2,800.86","2,993.69","2,996.25","2,719.79","912.61K","-6.38%"
"2025-11-30","2,991.73","2,990.70","3,051.75","2,976.76","200.64K","0.09%"
"2025-11-29","2,989.11","3,031.23","3,051.25","2,964.58","248.70K","-1.39%"
"2025-11-28","3,031.22","3,015.23","3,094.14","2,994.85","399.06K","0.51%"
"2025-11-27","3,015.69","3,026.61","3,070.85","2,986.94","307.23K","-0.37%"
"2025-11-26","3,026.95","2,959.41","3,043.76","2,889.86","410.18K","2.26%"
"2025-11-25","2,960.07","2,953.45","2,979.00","2,857.40","476.22K","0.22%"
"2025-11-24","2,953.44","2,802.16","2,983.96","2,764.06","777.93K","5.40%"
"2025-11-23","2,801.99","2,770.16","2,858.10","2,768.39","434.90K","1.14%"
"2025-11-22","2,770.41","2,765.94","2,798.91","2,705.74","285.19K","0.13%"
"2025-11-21","2,766.76","2,834.24","2,885.37","2,630.67","1.27M","-2.34%"
"2025-11-20","2,832.98","3,025.56","3,062.03","2,792.49","979.39K","-6.37%"
"2025-11-19","3,025.72","3,123.73","3,125.00","2,874.32","797.61K","-3.14%"
"2025-11-18","3,123.73","3,031.43","3,169.72","2,953.39","815.01K","3.09%"
"2025-11-17","3,030.18","3,095.98","3,220.71","2,959.66","814.35K","-2.13%"
"2025-11-16","3,096.03","3,167.91","3,248.22","3,018.88","606.01K","-2.27%"
"2025-11-15","3,168.01","3,112.49","3,230.03","3,112.49","358.82K","1.77%"
"2025-11-14","3,113.03","3,231.63","3,255.85","3,070.23","953.75K","-3.71%"
"2025-11-13","3,232.94","3,414.84","3,565.07","3,156.07","1.01M","-5.29%"
"2025-11-12","3,413.60","3,417.80","3,587.25","3,372.67","579.39K","-0.12%"
"2025-11-11","3,417.56","3,565.38","3,645.25","3,406.06","707.00K","-4.21%"
"2025-11-10","3,567.87","3,583.52","3,657.37","3,507.74","652.63K","-0.45%"
